sentence|translation|sdg
Un sensor que capta las señales del cerebro|A sensor that captures brain signals|3
un juego para predecir problemas de demencia|a game to predict dementia problems|3
paneles solares para alimentar el dispositivo de monitorización de una colmena|solar panels to power the bee monitoring device|7
son algunas las novedades en divulgación científica|are some of the novelties in science communication|9
La UPCT y socios del consorcio EUt+ están sorprendiendo hoy a los asistentes a la feria tecnológica|The UPCT and partners of the EUt+ consortium are surprising attendees at the technology fair|9
la Noche Europea de los Investigadores es un evento importante para la divulgación científica|The European Researchers' Night is an important event for science communication|9
los talleres han incentivado la participación de los jóvenes preuniversitarios en demostraciones tecnológicas|the workshops have encouraged pre-university students' participation in technological demonstrations|4
los escolares han participado en experimentos tecnológicos variados|schoolchildren have participated in various technological experiments|4
Los investigadores búlgaros han presentado el proyecto Solar Bee Project|Bulgarian researchers have presented the Solar Bee Project|7
se realizan actividades sobre ingeniería, turismo sostenible, inteligencia artificial, robótica y nanotecnología|activities are carried out on engineering, sustainable tourism, artificial intelligence, robotics, and nanotechnology|9
El proyecto Science Goes To School es financiado por acciones Marie Sk?odowska-Curie|The Science Goes To School project is funded by Marie Sk?odowska-Curie actions|4
